name,affiliations,author_id,cited_by,interests,author_id,cited_by,interests
David La Barbera,Università Degli Studi Di Udine,MvN8wKEAAAAJ,138,Computer Science,MvN8wKEAAAAJ,139,Computer Science
Michael Soprano,Postdoctoral Research Fellow at the University of Udine,ocK0qRUAAAAJ,206,Crowdsourcing,ocK0qRUAAAAJ,210,Crowdsourcing
Kevin Roitero,University of Udine,1xd52jMAAAAJ,688,Information Retrieval,1xd52jMAAAAJ,690,Information Retrieval
Stefano Mizzaro,Full professor of Computer Science and Information Technology,2wvJC6IAAAAJ,4732,misinformation and fake news detection,2wvJC6IAAAAJ,4739,misinformation and fake news detection
Damiano Spina,"School of Computing Technologies, RMIT University",sLzYrNYAAAAJ,2480,Human-AI Fact-checking,sLzYrNYAAAAJ,2483,Human-AI Fact-checking
Gianluca Demartini,Associate Professor at the University of Queensland,PCAiILsAAAAJ,5339,Crowdsourcing,PCAiILsAAAAJ,5348,Crowdsourcing
Eddy Maddalena,"Università degli Studi di Udine, Italy",egHDpFkAAAAJ,553,Web science,egHDpFkAAAAJ,553,Web science
