coefficiente di clustering medio,centro del grafo,raggio,distanza media,transitività,coefficiente omega,coefficiente sigma
0.16788801854998694,Kevin Roitero,2,2.6470175438596493,0.15254237288135594,-0.009795864262990506,0.9352250580378897
0.16788801854998694,Stefano Mizzaro,2,2.6470175438596493,0.15254237288135594,-0.009795864262990506,0.9352250580378897
0.16788801854998694,Gianluca Demartini,2,2.6470175438596493,0.15254237288135594,-0.009795864262990506,0.9352250580378897
0.16788801854998694,Michael Soprano,2,2.6470175438596493,0.15254237288135594,-0.009795864262990506,0.9352250580378897
0.2242016499377446,David La Barbera,2,2.3926315789473684,0.29284903518728717,0.002087423650353748,0.9987534829153834
0.2242016499377446,Kevin Roitero,2,2.3926315789473684,0.29284903518728717,0.002087423650353748,0.9987534829153834
0.2242016499377446,Stefano Mizzaro,2,2.3926315789473684,0.29284903518728717,0.002087423650353748,0.9987534829153834
0.2242016499377446,Gianluca Demartini,2,2.3926315789473684,0.29284903518728717,0.002087423650353748,0.9987534829153834
0.2242016499377446,Damiano Spina,2,2.3926315789473684,0.29284903518728717,0.002087423650353748,0.9987534829153834
0.2242016499377446,Michael Soprano,2,2.3926315789473684,0.29284903518728717,0.002087423650353748,0.9987534829153834
0.2242016499377446,Vincenzo Della Mea,2,2.3926315789473684,0.29284903518728717,0.002087423650353748,0.9987534829153834
0.2242016499377446,Davide Ceolin,2,2.3926315789473684,0.29284903518728717,0.002087423650353748,0.9987534829153834
0.2242016499377446,Tim Draws,2,2.3926315789473684,0.29284903518728717,0.002087423650353748,0.9987534829153834
0.2242016499377446,Alessandro Checco,2,2.3926315789473684,0.29284903518728717,0.002087423650353748,0.9987534829153834
0.2242016499377446,Eddy Maddalena,2,2.3926315789473684,0.29284903518728717,0.002087423650353748,0.9987534829153834
0.2242016499377446,Falk Scholer,2,2.3926315789473684,0.29284903518728717,0.002087423650353748,0.9987534829153834
0.2242016499377446,Mark Sanderson,2,2.3926315789473684,0.29284903518728717,0.002087423650353748,0.9987534829153834
